cz,Name,College_Graduation_Rate_rP_gP_pall
cz21003,"Ironwood, MI & WI",0.3179
cz1600,"Wilson, NC",0.3178
cz21400,"St. Cloud, MN",0.3176
cz33602,"Altus, OK",0.317
cz24200,"Bourbonnais, IL",0.3162
cz36404,"Rock Springs, UT & WY",0.3159
cz11001,"Mobile, AL",0.3157
cz35902,"Price, UT",0.3147
cz3800,"Lafayette, LA",0.3139
cz18201,"Olean, NY & PA",0.3139
cz8602,"Brunswick, GA",0.3139
cz30601,"El Paso, NM & TX",0.3135
cz13502,"Defiance, OH",0.3123
cz4003,"Ruston, LA",0.3119
cz35201,"Grand Junction, CO",0.3116
cz26106,"Centerville, IA",0.311
cz25300,"Union City, KY & TN",0.3108
cz20003,"Presque Isle, ME",0.3107
cz7600,"Jacksonville, FL & GA",0.3107
cz1201,"Franklin, GA & NC",0.3107
cz26202,"East Grant UT, ND",0.3106
cz6200,"Florence, AL & TN",0.3102
cz39303,"Port Angeles, WA",0.3095
cz17501,"Cumberland, MD & WV",0.3095
cz19903,"Chincoteague, VA",0.3094
cz34115,"Fairbanks, AK",0.3092
cz4702,"Clarksdale, MS",0.3081
cz17400,"Hagerstown, MD & PA & WV",0.3078
cz35100,"Tucson, AZ",0.3072
cz1202,"Sylva, NC",0.307
cz16000,"Mansfield, OH",0.3069
cz39000,"Yakima, WA",0.3068
cz35702,"Burley, ID",0.3064
cz4402,"Richmond, KY",0.3064
cz1800,"Goldsboro, NC",0.3063
cz7500,"Deltona, FL",0.3063
cz32604,"Vernon, TX",0.306
cz11500,"Jackson, MI",0.3059
cz25601,"Carbondale, IL",0.3054
cz34703,"Kahului, HI",0.305
cz36501,"Klamath Falls, CA & OR",0.3046
cz23000,"Monroe, WI",0.3042
cz35402,"Cortez, CO & UT",0.3041
cz13800,"Wayne, IN",0.3039
cz4301,"Stuttgart, AR",0.3037
cz2100,"Washington, NC",0.3034
cz31301,"San Antonio, TX",0.3025
cz31401,"Midland, TX",0.3012
cz10102,"Thomasville, GA",0.3012
cz26104,"Trenton, MO",0.3008
cz33400,"Longview, TX",0.3004
cz3203,"Vicksburg, LA & MS",0.3004
cz14600,"Bloomington, IN",0.3002
cz29700,"Springfield, MO",0.2996
cz10302,"Dothan, AL",0.2995
cz16802,"Summersville, WV",0.2992
cz31007,"Dumas, TX",0.299
cz4601,"Campbellsville, KY",0.2988
cz34302,"Worland, WY",0.2983
cz12002,"Ludington, MI",0.2981
cz4901,"Jackson, TN",0.2981
cz28503,"Trinidad, CO",0.2975
cz36600,"Redding, CA",0.2972
cz10801,"Tuscaloosa, AL",0.2972
cz14400,"Terre Haute, IN",0.2969
cz1302,"Florence, SC",0.2968
cz13200,"Owensboro, KY",0.2966
cz15800,"Athens, OH & WV",0.2965
cz4102,"Pine Bluff, AR",0.2963
cz29503,"St. Joseph, KS & MO",0.2961
cz14000,"Muncie, IN",0.2961
cz3202,"Natchez, LA & MS",0.2961
cz21201,"Hutchinson, MN",0.2958
cz26601,"Milbank, MN & SD",0.2957
cz10502,"Starkville, MS",0.2954
cz34001,"Hot Springs, AR",0.2945
cz37604,"Reno, NV",0.2945
cz29901,"Joplin, KS & MO & OK",0.2944
cz30904,"Pampa, TX",0.2943
cz26103,"Brookfield, MO",0.2943
cz21001,"Ashland, WI",0.2941
cz4103,"El Dorado, AR",0.2933
cz5700,"Tullahoma, TN",0.2933
cz13102,"Madison, IN & KY",0.293
cz39201,"La Grande, OR",0.2929
cz2700,"Gulfport, MS",0.2925
cz29303,"Winfield, KS",0.2917
cz27004,"Winner, SD",0.2915
cz37300,"Chico, CA",0.2912
cz30903,"Amarillo, TX",0.2912
cz28502,"Pueblo, CO",0.2909
cz30901,"Clovis, NM & TX",0.2903
cz602,"Galax, NC & VA",0.2903
cz26101,"Moberly, MO",0.2903
cz10400,"Meridian, MS",0.2901
cz32301,"San Angelo, TX",0.2895
cz14801,"Olney, IL",0.2895
cz4101,"Crossett, AR",0.2893
cz32602,"Graham, TX",0.2891
cz1100,"Hickory, NC",0.289
cz21600,"Brainerd, MN",0.2886
cz26701,"Bemidji, MN",0.2883
cz13103,"Bardstown, KY",0.2882
cz9500,"Talladega, AL",0.2881
cz32100,"Beaumont, TX",0.2879
cz9400,"Gainesville, GA",0.2875
cz10501,"Columbus, AL & MS",0.2872
cz1002,"Morganton, NC",0.287
cz36403,"Soda Springs, ID",0.2868
cz1400,"Fayetteville, NC",0.2867
cz14802,"Vincennes, IL & IN",0.2864
cz27003,"Ainsworth, NE",0.2863
cz29902,"Center, MO",0.2862
cz4401,"London, KY",0.286
cz2600,"Roanoke Rapids, NC & VA",0.2859
cz35300,"Farmington, CO & NM",0.2856
cz39205,"John Day, OR",0.2849
cz31101,"Victoria, TX",0.2849
cz34501,"Bonners Ferry, ID",0.2848
cz31202,"Burnet, TX",0.2841
cz36401,"Steamboat Springs, CO",0.2834
cz29401,"Ottawa, KS",0.2826
cz35701,"Twin Falls, ID",0.2815
cz25602,"Harrisburg, IL",0.2813
cz3002,"Yazoo City, MS",0.2811
cz30602,"Alamogordo, NM",0.281
cz9600,"LaGrange, AL & GA",0.281
cz32403,"Snyder, TX",0.281
cz3901,"Monroe, LA",0.2808
cz29506,"Bethany, MO",0.2808
cz36901,"Crescent City, CA & OR",0.2797
cz32900,"Killeen, TX",0.2795
cz26406,"Wolf Point, MT",0.2794
cz9701,"Columbus, AL & GA",0.2792
cz34502,"Libby, MT",0.2792
cz15400,"Zanesville, OH",0.279
cz6302,"Cookeville, TN",0.279
cz30701,"Roswell, NM",0.2789
cz38602,"Colville, WA",0.2788
cz36902,"Roseburg, OR",0.2785
cz800,"Gastonia, NC",0.2781
cz4002,"Shreveport, LA",0.278
cz12902,"Mount Sterling, KY",0.2776
cz17000,"Pikeville, KY & WV",0.2776
cz26001,"Roseau, MN",0.2773
cz31700,"Corpus Christi, TX",0.2772
cz1702,"Henderson, NC",0.2768
cz5900,"Clarksville, KY & TN",0.2768
cz31404,"Alpine, TX",0.2765
cz33601,"Lawton, OK",0.2761
cz11403,"Sault Ste. Marie, MI",0.2761
cz32502,"Childress, TX",0.2757
cz6100,"Gadsden, AL",0.2755
cz38700,"Longview, OR & WA",0.2751
